epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.146,7.83897,8.68646,5.82537,0.58772,0.09349,0.05721,0.01533,5.66272,5.93659,4.85118,0.00333068,0.00333068,0.00333068
2,532.694,5.22257,4.84295,3.62644,0.34248,0.19586,0.16609,0.06002,4.52213,4.30387,3.78984,0.00659804,0.00659804,0.00659804
3,787.435,4.55583,3.85453,3.14019,0.46115,0.26617,0.25705,0.10423,4.17538,3.66841,3.45214,0.0097994,0.0097994,0.0097994
4,1043.21,4.25336,3.22564,2.94315,0.46402,0.38425,0.37834,0.16927,3.82093,2.98472,3.19329,0.009703,0.009703,0.009703
5,1297.24,4.01846,2.81244,2.80233,0.57243,0.43567,0.46529,0.21921,3.62148,2.68668,3.05498,0.009604,0.009604,0.009604
6,1553.42,3.87313,2.54919,2.72736,0.52059,0.49566,0.49522,0.24311,3.5417,2.41823,2.99838,0.009505,0.009505,0.009505
7,1808.42,3.77926,2.38534,2.66994,0.5745,0.5432,0.55055,0.27751,3.42397,2.21701,2.91958,0.009406,0.009406,0.009406
8,2062.47,3.70268,2.24642,2.64145,0.60284,0.56915,0.58605,0.29979,3.34951,2.04356,2.8707,0.009307,0.009307,0.009307
9,2310.98,3.64494,2.13557,2.602,0.63074,0.58541,0.61067,0.31148,3.34299,1.96013,2.85049,0.009208,0.009208,0.009208
10,2564.84,3.56796,2.04155,2.5746,0.68883,0.60061,0.64077,0.33395,3.27744,1.88369,2.81585,0.009109,0.009109,0.009109
11,2818.97,3.53429,1.96883,2.54641,0.69547,0.61517,0.66023,0.34845,3.21833,1.8122,2.77188,0.00901,0.00901,0.00901
12,3069.73,3.50346,1.92898,2.533,0.69816,0.62849,0.66817,0.35379,3.22311,1.76586,2.78225,0.008911,0.008911,0.008911
13,3321.74,3.45739,1.87888,2.51741,0.7125,0.64665,0.69758,0.36976,3.20387,1.69218,2.76163,0.008812,0.008812,0.008812
14,3576.35,3.44379,1.8439,2.505,0.73181,0.66035,0.7113,0.38035,3.15467,1.66503,2.7382,0.008713,0.008713,0.008713
15,3817.11,3.4017,1.79383,2.49128,0.76341,0.67179,0.7296,0.38844,3.17355,1.63008,2.74462,0.008614,0.008614,0.008614
16,4057.49,3.38293,1.76601,2.47566,0.75678,0.6783,0.74224,0.39704,3.16177,1.5887,2.73561,0.008515,0.008515,0.008515
17,4312.25,3.35534,1.72592,2.46494,0.79719,0.69357,0.76811,0.41535,3.09181,1.51575,2.69289,0.008416,0.008416,0.008416
18,4560.82,3.32841,1.7024,2.45964,0.79903,0.70254,0.76572,0.41887,3.07584,1.49894,2.67993,0.008317,0.008317,0.008317
