epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.765,3.58842,4.34049,2.40074,0.47428,0.52063,0.47699,0.25295,3.15884,2.6898,2.4562,0.00333068,0.00333068,0.00333068
2,513.087,3.44569,2.88307,2.33064,0.56601,0.56322,0.56969,0.30555,3.10692,2.18561,2.43922,0.00659804,0.00659804,0.00659804
3,755.608,3.49244,2.58216,2.35904,0.59525,0.57285,0.58607,0.30884,3.18991,2.12988,2.49349,0.0097994,0.0097994,0.0097994
4,997.58,3.51328,2.33759,2.3898,0.66879,0.61402,0.66421,0.34522,3.17471,1.91363,2.51065,0.009703,0.009703,0.009703
5,1241.66,3.43219,2.0771,2.35764,0.72145,0.65796,0.71667,0.3694,3.15115,1.81286,2.50992,0.009604,0.009604,0.009604
6,1486.97,3.36316,1.90128,2.33637,0.75238,0.69067,0.75363,0.39757,3.11853,1.7018,2.50969,0.009505,0.009505,0.009505
7,1727.43,3.32314,1.82129,2.32017,0.76151,0.70509,0.77601,0.42214,3.03085,1.55844,2.45297,0.009406,0.009406,0.009406
8,1973.41,3.28881,1.74546,2.31392,0.77401,0.74653,0.79727,0.43069,3.03181,1.51435,2.45649,0.009307,0.009307,0.009307
9,2219.9,3.25078,1.68476,2.29034,0.79479,0.74093,0.80868,0.43869,2.9902,1.46384,2.41175,0.009208,0.009208,0.009208
10,2456.69,3.20182,1.62336,2.27681,0.81933,0.76978,0.83946,0.46004,2.94368,1.4157,2.38901,0.009109,0.009109,0.009109
11,2693.26,3.19449,1.58576,2.26522,0.81457,0.77008,0.8398,0.4642,2.91626,1.39555,2.38199,0.00901,0.00901,0.00901
12,2930.99,3.17299,1.5759,2.25165,0.83527,0.773,0.85138,0.47237,2.91122,1.35591,2.38015,0.008911,0.008911,0.008911
13,3169.62,3.14208,1.547,2.24035,0.83913,0.77978,0.85311,0.4764,2.89046,1.35569,2.35683,0.008812,0.008812,0.008812
14,3407.47,3.13115,1.51593,2.22688,0.84854,0.79664,0.87116,0.48835,2.91491,1.31771,2.36644,0.008713,0.008713,0.008713
15,3647.8,3.10474,1.49078,2.21614,0.84672,0.80075,0.86932,0.49183,2.88932,1.2699,2.34378,0.008614,0.008614,0.008614
16,3888.24,3.09694,1.47011,2.2066,0.86362,0.80286,0.87767,0.49599,2.85595,1.24797,2.32801,0.008515,0.008515,0.008515
17,4125.59,3.07666,1.45379,2.19801,0.86549,0.80658,0.88411,0.50186,2.86835,1.24896,2.32717,0.008416,0.008416,0.008416
18,4361.81,3.06518,1.44684,2.19193,0.86107,0.81399,0.88349,0.50028,2.82228,1.22502,2.29089,0.008317,0.008317,0.008317
19,4598.88,3.05034,1.43476,2.18509,0.85309,0.81621,0.88312,0.51025,2.83287,1.20663,2.30814,0.008218,0.008218,0.008218
20,4838.24,3.04336,1.41756,2.18387,0.86669,0.8175,0.88859,0.51393,2.81632,1.20292,2.29733,0.008119,0.008119,0.008119
21,5077.19,3.03439,1.41505,2.17456,0.87753,0.83604,0.90372,0.5269,2.78389,1.16872,2.27861,0.00802,0.00802,0.00802
22,5320.73,3.01596,1.39679,2.16382,0.87919,0.82696,0.89959,0.52256,2.79276,1.17547,2.27429,0.007921,0.007921,0.007921
23,5564.64,3.01396,1.37835,2.16305,0.86948,0.83683,0.90445,0.52319,2.77507,1.15793,2.26658,0.007822,0.007822,0.007822
24,5807.37,2.99805,1.36233,2.15179,0.88375,0.84622,0.91123,0.53101,2.772,1.14155,2.26339,0.007723,0.007723,0.007723
25,6048.49,2.99673,1.36192,2.14892,0.88531,0.84014,0.90995,0.53289,2.75124,1.1314,2.25764,0.007624,0.007624,0.007624
26,6294.01,2.99424,1.36066,2.14532,0.88166,0.8407,0.91022,0.537,2.75949,1.1393,2.25615,0.007525,0.007525,0.007525
27,6536.44,2.98298,1.35244,2.13526,0.89079,0.83683,0.91079,0.53528,2.74864,1.1326,2.2325,0.007426,0.007426,0.007426
28,6776.97,2.96221,1.33733,2.13513,0.88941,0.84975,0.91458,0.54002,2.74131,1.11926,2.24685,0.007327,0.007327,0.007327
29,7019.01,2.96915,1.33046,2.12968,0.89697,0.84145,0.91113,0.53674,2.72748,1.10064,2.23944,0.007228,0.007228,0.007228
30,7261.42,2.94931,1.31583,2.1257,0.88557,0.84476,0.9143,0.53924,2.73053,1.10799,2.22968,0.007129,0.007129,0.007129
31,7503.45,2.96574,1.31761,2.12818,0.89338,0.85214,0.91751,0.54544,2.71964,1.09086,2.22566,0.00703,0.00703,0.00703
32,7745.82,2.94431,1.30771,2.11882,0.89375,0.86374,0.92412,0.55168,2.72539,1.07971,2.2237,0.006931,0.006931,0.006931
33,7991.38,2.93232,1.29749,2.11711,0.89672,0.85145,0.91934,0.55189,2.71535,1.07418,2.21935,0.006832,0.006832,0.006832
34,8231.74,2.93329,1.28777,2.1168,0.89961,0.85388,0.92266,0.55085,2.71231,1.0724,2.21033,0.006733,0.006733,0.006733
35,8471.67,2.9211,1.28411,2.11782,0.8893,0.85576,0.92091,0.55066,2.71576,1.07613,2.22208,0.006634,0.006634,0.006634
36,8711.75,2.92521,1.28885,2.10656,0.90415,0.86459,0.9247,0.55779,2.68371,1.05571,2.19812,0.006535,0.006535,0.006535
37,8953.38,2.9158,1.27605,2.11038,0.90085,0.86932,0.9281,0.55881,2.68643,1.05196,2.19584,0.006436,0.006436,0.006436
38,9194.39,2.91066,1.27005,2.10213,0.90865,0.86536,0.93038,0.56395,2.67911,1.0465,2.19025,0.006337,0.006337,0.006337
39,9434.6,2.91344,1.26861,2.10212,0.90087,0.87133,0.93065,0.56367,2.67611,1.04312,2.19715,0.006238,0.006238,0.006238
40,9675.48,2.9069,1.26637,2.09946,0.90409,0.87162,0.93113,0.56443,2.66551,1.03407,2.18512,0.006139,0.006139,0.006139
41,9921.44,2.89419,1.25204,2.09279,0.9052,0.87455,0.93335,0.56508,2.66444,1.02753,2.18109,0.00604,0.00604,0.00604
42,10162.7,2.88303,1.24626,2.09315,0.90068,0.88048,0.93487,0.56799,2.65838,1.0243,2.17855,0.005941,0.005941,0.005941
43,10402.7,2.88604,1.246,2.09187,0.90306,0.87817,0.93335,0.56914,2.65003,1.02456,2.17541,0.005842,0.005842,0.005842
44,10646.9,2.87755,1.24432,2.09083,0.90149,0.87047,0.93315,0.56782,2.6596,1.02564,2.18309,0.005743,0.005743,0.005743
45,10892.9,2.88711,1.23835,2.0867,0.90879,0.87173,0.93229,0.56898,2.64986,1.01767,2.16837,0.005644,0.005644,0.005644
46,11133.1,2.87273,1.22578,2.08399,0.90659,0.87759,0.93374,0.57207,2.64631,1.00987,2.17228,0.005545,0.005545,0.005545
47,11372.7,2.853,1.22087,2.0894,0.90649,0.8789,0.93769,0.57211,2.64764,1.00989,2.17732,0.005446,0.005446,0.005446
48,11612.9,2.86392,1.22228,2.08555,0.90379,0.88246,0.93665,0.57459,2.63708,1.00382,2.16675,0.005347,0.005347,0.005347
49,11854.8,2.86976,1.22298,2.07793,0.90751,0.87301,0.9355,0.575,2.63428,1.00229,2.16135,0.005248,0.005248,0.005248
50,12094.8,2.83864,1.20826,2.07881,0.912,0.8804,0.93893,0.57652,2.63159,0.99686,2.15919,0.005149,0.005149,0.005149
51,12337.9,2.84744,1.20916,2.07438,0.91656,0.87586,0.93883,0.57618,2.6351,0.9956,2.16292,0.00505,0.00505,0.00505
52,12578.9,2.8434,1.20615,2.07392,0.9134,0.87824,0.93861,0.57777,2.62953,0.99245,2.15774,0.004951,0.004951,0.004951
